,user_name,created_at,attitudes_count,comments
0,雨木没有头发了,Tue Dec 01 14:13:09 +0800 2020,0,平权仙子啊，那没事了
1,干它凉的意大利面,Sat Nov 28 21:05:30 +0800 2020,0,是男孩子没有传媒资源，没有造势的资源，和导向舆论的资源。舆论推手，来来去去就那几个团体[偷笑]
2,能饮一杯无_33141,Sat Nov 28 15:27:49 +0800 2020,0,饵咸钩直居然能钓上这么多人？!他们用下半身思考的吧？
3,呵呵不准看,Wed Nov 25 17:50:43 +0800 2020,0,@一碗板栗焖鸡 @Sherry泉井田 看看
4,今年二十八Q,Wed Nov 25 12:46:16 +0800 2020,0,这人活的还不如狗
5,塞巴斯蒂安良除暴,Tue Nov 24 23:49:00 +0800 2020,0,君子不立危墙之下都不知道的男的建议死了重来
6,CLau0205,Tue Nov 24 22:47:28 +0800 2020,0,啊这，，，男的智商也不大行
7,断背山下百合开的,Tue Nov 24 19:41:49 +0800 2020,0,你认为呢？
8,2H6Happy,Tue Nov 24 15:20:18 +0800 2020,0,可是玩微博的男性很少啊[允悲]单单对我一个人来说  我大学的同学  男的  玩微博的  真的屈指可数  大家看新闻也是浏览器推送的  玩b站的男生或许还多很多  反正玩微博的真的很少  年轻人都如此之少了  更别说我们父辈他们中年人玩微博了
9,潘一壶,Tue Nov 24 15:10:47 +0800 2020,0,所以博主没说错啊，与发出恶臭言论的人割席并为“不完美受害者”发声。正常男生不发言恶臭男拼命发言女生可不就觉得男的不行，不发声就不会被看到，女生现在打拳也是同样的原因，没有人为我们说话我们就要大声为自己说话。除了性别这世上可贴的标签太多了，谁知道镰刀下一秒落在谁头上。
10,2H6Happy,Tue Nov 24 15:10:31 +0800 2020,0,微博女拳为什么是反智的令人讨厌的  我先不谈那些由境外组织培养的专门带节奏的人   女拳总是以偏面的东西来攻击整个男性  比如一个男的杀了女的 她就要上升到整体男性  那无辜的男性被她言语波及肯定要被激怒啊 同样微博也有一些男性被情绪带动 或是境外组织唱双簧 以拳制拳来反击女拳 这就更是下乘了
11,2H6Happy,Tue Nov 24 15:05:02 +0800 2020,0,再者  现代社会女性存在一定程度的劣势是客观的  所以对于性骚扰案件  女性收到规则的倾斜保护也是客观的  这里指发生性骚扰类似事件时人们下意识认为男性是强势方 女性是弱势方  但人性最复杂 在这种大环境之下  免不了有人利用这种规则为自己强权  一旦做了什么事情  就拿女权来混淆视听 偷换概念
12,2H6Happy,Tue Nov 24 14:58:00 +0800 2020,0,其次  对于男性侵害女性的新闻中  是总会出现一些陈旧落后的男性发出的观点  本人对于这种观点也是深恶痛绝的  但男性群体如此之庞大  出现一小部分这类人到目前来说完全是无法避免的  就像一直以来我们就被灌输不能犯罪不能犯法要做个守法维纪的好公民一样  几千年下来犯罪者还是数不胜数 无论中外
13,nmhszjj,Tue Nov 24 14:54:30 +0800 2020,0,原来你是女生，那这个逻辑能力也还好，你要是个男的就真完犊子了。把性别改回来吧，从接纳自己的女生性别做起
14,2H6Happy,Tue Nov 24 14:53:36 +0800 2020,0,受害者有罪论 我认为的 不管谁遭殃了 总有那么一群人幸灾乐祸  对于首先提出异议的人  很多人就要反问你 “那你为什么要这样呢？”这不仅仅体现在女性被侵害的案件中  哪怕在平日生活里 某一学生被欺凌了  有些老师就会说“一个巴掌拍不响 为什么就单单你被打？” 这个思想对于男性女性来说都是迫害者
15,nmhszjj,Tue Nov 24 14:49:07 +0800 2020,0,被这样教育是很可怜的，怎么你还炫耀呢
16,潘一壶,Tue Nov 24 14:43:45 +0800 2020,0,不引战只说真实想法，这条po就是在报复性反讽啊，因为女生从小到大都在被教导天黑别出门，不要穿裙子，不要一个人乘电梯等等这些吗…连不要对陌生男子微笑这种离谱的教导我都听过太多次了，然后出事就是受害者有罪论。真要说倾斜度保护您看看随便一条杀女新闻讨论中的男性发言呢…也就这两年才稍微好点
17,潘一壶,Tue Nov 24 14:38:43 +0800 2020,0,因为??小
18,潘一壶,Tue Nov 24 14:37:23 +0800 2020,0,捞捞
19,潘一壶,Tue Nov 24 14:34:41 +0800 2020,0,说得太对了！也尽量避免和女性结婚，会省很多麻烦，君子不立于危墙之下
20,请随意抹布我本命但要记得艾特我,Tue Nov 24 13:38:21 +0800 2020,0,害这还用说，我们从小到大都是这么被教育的[喵喵]一天都没落下哦
21,土豆欠肖呆脱姨,Tue Nov 24 09:11:15 +0800 2020,0,[疑问][疑问]自己碰到了别人 无论对方男女老少 不都应该是自己说对不起吗？这不是做人最基本的礼貌和教养吗？怎么到你嘴里道歉就看性别了？
22,蒼術黑鹿,Tue Nov 24 08:38:16 +0800 2020,0,笑死这句还重复了 水平真的不行[吃瓜]确实从小被宠着长大了才能看见你这种蛆挺惊人的 调查我爹妈和经济情况干嘛呢 笑死[吃瓜]上一个这么问的想来当小白脸可惜我看不上 你那么好奇的话 来告诉我你哪个大地方的祖上十八辈都是干啥的
23,nmhszjj,Tue Nov 24 08:25:14 +0800 2020,0,你们我们的，这样搞性别对立不好吧，我们一起网爆清华女不好吗？
24,nmhszjj,Tue Nov 24 08:19:24 +0800 2020,0,理解歪了不是，我就是要她别教人做事啊？你也讨厌教别人做事的人，那就对了[握手]
25,nmhszjj,Tue Nov 24 08:17:36 +0800 2020,0,爹妈干啥的？小时候过的不舒服吧？
26,蒼術黑鹿,Tue Nov 24 05:55:08 +0800 2020,0,那还真让你失望了 怎么想调查家庭情况来吃软饭吗[吃瓜] 我爱包养小白脸可不爱包养牛子三厘米包皮长四米的蛆哦 我发现你问什么就凸显了你什么方面的自卑呢 笑死[二哈]你也不敢透露你是哪个犄角旮旯长歪的呀[嘻嘻]多自卑[太开心]
27,燃Nen·,Tue Nov 24 00:12:15 +0800 2020,0,这不就是基本的道德吗，评论里有些人在说什么[吃惊]
